Transaction_Id,User_Id,Date,Transaction_Type,Category,Amount,Payment_Mode,Location,Notes,Currency,Amount_clean,Amount_Inr,Amount_USD,Amount_Unknown
T02786,U150,2019-10-22,Expense,Rent,$46,Cash,Hyderabad,,$,46.0,,46.0,
T14674,U158,2022-04-17,Income,Bonus,"35,621",Card,Pune,Uber to office,,35621.0,,,35621.0
T06474,U136,2019-04-24,Expense,Rent,490,Bank Transfer,Mumbai,Doctor visit,,490.0,,,490.0
T05913,U070,2020-07-13,Expense,Food,"1,096",UPI,Unknown,Uber to office,,1096.0,,,1096.0
T02520,U088,2021-01-01,Expense,Health,193,Bank Transfer,Ahmedabad,Netflix subscription,,193.0,,,193.0
T02736,U040,2020-08-05,Expense,Entertainment,187,Bank Transfer,Bengaluru,Doctor visit cash,,187.0,,,187.0
T00990,U014,2022-10-16,Expense,Others,"2,506",Bank Transfer,Ahmedabad,Doctor visit cash,,2506.0,,,2506.0
T08692,U116,2020-04-05,Income,Salary,"56,751",UPI,Bengaluru,Paid electricity bill,,56751.0,,,56751.0
T07857,U002,2019-07-08,Income,Other Income,"63,433",Bank Transfer,Ahmedabad,Paid electricity bill cash,,63433.0,,,63433.0
T08139,U079,2022-12-18,Income,Bonus,"55,318",Cash,Bengaluru,Monthly rent cash,,55318.0,,,55318.0
T02021,U035,2022-04-29,Expense,Others,206,UPI,Kolkata,Uber to office,,206.0,,,206.0
T08463,U179,2022-10-28,Expense,Utilities,215,Cash,Bengaluru,Uber to office ,,215.0,,,215.0
T09732,U071,2019-02-16,Expense,Travel,"2,871",Card,Mumbai,Monthly rent via app,,2871.0,,,2871.0
T08387,U009,2020-07-15,Expense,Utilities,272,UPI,Pune,VDSr4SI1JVHg,,272.0,,,272.0
T04370,U119,2021-03-31,Expense,Food,"5,387",Bank Transfer,Pune,A7Brvt0bSrovLXo,,5387.0,,,5387.0
T03937,U104,2022-06-18,Income,Other Income,"53,334",Cash,Ahmedabad,Grocery shopping ,,53334.0,,,53334.0
T12024,U066,2022-01-03,Expense,Travel,239,Bank Transfer,Pune,Paid electricity bill,,239.0,,,239.0
T14443,U025,2020-02-13,Expense,Rent,₹129,UPI,Lucknow,,₹,129.0,129.0,,
T05759,U088,2019-12-28,Expense,Entertainment,123,Bank Transfer,Chennai,Dinner at resto cash,,123.0,,,123.0
T00315,U142,2019-01-09,Expense,Food,143,Cash,Chennai,,,143.0,,,143.0
T05202,U088,2019-04-18,Expense,Food,125,Cash,Jaipur,Monthly rent,,125.0,,,125.0
T11066,U031,2020-12-13,Expense,Unknown,367,Bank Transfer,Kolkata,NLS1gMaaOza0C0cf,,367.0,,,367.0
T01016,U041,2019-01-12,Expense,Others,517,Cash,Kolkata,Doctor visit,,517.0,,,517.0
T06997,U075,2019-10-02,Expense,Food,"₹3,186",Bank Transfer,Chennai,Grocery shopping,₹,3186.0,3186.0,,
T02973,U129,,Expense,Food,141,Bank Transfer,Bengaluru,Paid electricity bill,,141.0,,,141.0
T03039,U141,2019-10-24,Expense,Travel,266,Bank Transfer,Lucknow,Doctor visit,,266.0,,,266.0
T14348,U166,2021-12-02,Expense,Food,996,UPI,Bengaluru,Paid electricity bill late,,996.0,,,996.0
T11938,U090,2021-10-09,Expense,Others,"1,901",Unknown,Chennai,,,1901.0,,,1901.0
T07615,U038,2019-10-05,Expense,Rent,$186,UPI,Ahmedabad,Monthly rent,$,186.0,,186.0,
T06608,U163,2019-03-06,Expense,Rent,216,Card,Mumbai,zQQvRHrCGH,,216.0,,,216.0
T07654,U175,2020-11-02,Expense,Others,196,Bank Transfer,Hyderabad,Course fee cash,,196.0,,,196.0
T01611,U019,2020-08-23,Expense,Rent,"1,015",UPI,Ahmedabad,Salary cash,,1015.0,,,1015.0
T01335,U113,2019-07-17,Income,Bonus,"46,491",UPI,Delhi,Gift,,46491.0,,,46491.0
T07445,U075,2022-06-16,Expense,Food,"₹4,048",Bank Transfer,Unknown,Monthly rent,₹,4048.0,4048.0,,
T10705,U035,2022-05-24,Income,Other Income,"₹32,770",Bank Transfer,Pune,Dinner at resto,₹,32770.0,32770.0,,
T11761,U093,2019-11-10,Expense,Entertainment,"2,951",Cash,Pune,Uber to office,,2951.0,,,2951.0
T11949,U127,2022-02-14,Expense,Food,56,Bank Transfer,Bengaluru,Grocery shopping,,56.0,,,56.0
T00222,U014,2022-07-04,Expense,Travel,745,Cash,Delhi,Uber to office via app,,745.0,,,745.0
T08940,U062,2021-02-01,Income,Salary,"52,826",Card,Mumbai,Paid electricity bill ,,52826.0,,,52826.0
T03286,U119,2020-03-27,Expense,Savings,₹408,Card,Chennai,Paid electricity bill cash,₹,408.0,408.0,,
T13097,U067,2019-09-27,Expense,Rent,"1,237",Card,Mumbai,Gift cash,,1237.0,,,1237.0
T12188,U005,2022-04-19,Expense,Entertainment,,Bank Transfer,Kolkata,Monthly rent cash,,,,,
T01970,U044,2022-10-04,Expense,Rent,"1,530",Card,Hyderabad,Netflix subscription,,1530.0,,,1530.0
T01399,U076,2019-06-01,Expense,Travel,200,UPI,Delhi,Grocery shopping late,,200.0,,,200.0
T08098,U049,2019-06-29,Expense,Travel,183,Cash,Ahmedabad,Salary,,183.0,,,183.0
T02085,U176,2022-03-14,Expense,Food,₹333,Bank Transfer,Bengaluru,Doctor visit ,₹,333.0,333.0,,
T01842,U161,2021-10-13,Expense,Food,"1,275",Card,Kolkata,Gift ,,1275.0,,,1275.0
T11562,U140,2020-06-04,Expense,Entertainment,"1,769",Cash,Jaipur,Paid electricity bill ,,1769.0,,,1769.0
T07877,U032,2022-07-21,Expense,Travel,100,Bank Transfer,Jaipur,cJ9BkudD4Tf3Ql,,100.0,,,100.0
T03340,U107,2020-12-27,Expense,Rent,₹814,Card,Delhi,Gift,₹,814.0,814.0,,
T14028,U175,2021-04-07,Expense,Utilities,208,Cash,Mumbai,Salary via app,,208.0,,,208.0
T03872,U051,2021-12-22,Expense,Education,₹113,UPI,Bengaluru,Grocery shopping,₹,113.0,113.0,,
T03916,U086,2020-12-24,Expense,Rent,44,Cash,Kolkata,Gift,,44.0,,,44.0
T14446,U136,2022-03-24,Expense,Rent,219,Card,Mumbai,Course fee,,219.0,,,219.0
T09919,U177,2019-01-07,Income,Salary,"52,861",UPI,Kolkata,Course fee,,52861.0,,,52861.0
T02778,U103,2020-09-20,Expense,Food,33,Cash,Jaipur,Monthly rent,,33.0,,,33.0
T03163,U022,2020-10-04,Expense,Entertainment,418,Bank Transfer,Ahmedabad,Paid electricity bill,,418.0,,,418.0
T02942,U003,2021-10-30,Expense,Savings,184,UPI,Pune,sboT5a6RW,,184.0,,,184.0
T04791,U112,2020-08-03,Income,Other Income,"68,894",Bank Transfer,Hyderabad,Salary ,,68894.0,,,68894.0
T02335,U052,2019-04-22,Expense,Savings,"2,849",UPI,Unknown,Uber to office,,2849.0,,,2849.0
T09490,U109,2022-05-28,Expense,Food,55,Cash,Hyderabad,Uber to office,,55.0,,,55.0
T07421,U093,2021-02-18,Expense,Others,373,Cash,Jaipur,Netflix subscription via app,,373.0,,,373.0
T06200,U001,2020-08-24,Expense,Rent,201,Bank Transfer,Pune,,,201.0,,,201.0
T04759,U144,2022-09-10,Expense,Savings,"₹8,360",Bank Transfer,Lucknow,Dinner at resto via app,₹,8360.0,8360.0,,
T11740,U083,2021-05-20,Expense,Food,"1,766",Cash,Chennai,Grocery shopping,,1766.0,,,1766.0
T08870,U077,2021-07-20,Expense,Travel,411,Bank Transfer,Ahmedabad,Paid electricity bill late,,411.0,,,411.0
T14621,U063,2020-02-22,Expense,Rent,20,Card,Mumbai,kU9tfLsTrc,,20.0,,,20.0
T14576,U106,2019-10-28,Expense,Rent,78,Card,Ahmedabad,Netflix subscription,,78.0,,,78.0
T09583,U118,2019-12-11,Expense,Rent,₹720,Cash,Bengaluru,Grocery shopping,₹,720.0,720.0,,
T12697,U165,2021-09-09,Expense,Others,"1,067",UPI,Hyderabad,Netflix subscription cash,,1067.0,,,1067.0
T00428,U041,2020-06-29,Expense,Food,693,Bank Transfer,Hyderabad,Doctor visit,,693.0,,,693.0
T13693,U161,2021-02-15,Expense,Travel,641,Card,Delhi,Paid electricity bill,,641.0,,,641.0
T03728,U066,2022-07-06,Expense,Utilities,₹389,UPI,Bengaluru,,₹,389.0,389.0,,
T08570,U087,2020-09-03,Expense,Food,556,Card,Lucknow,Salary cash,,556.0,,,556.0
T14413,U181,2022-10-05,Income,Salary,"₹60,559",UPI,Jaipur,Grocery shopping late,₹,60559.0,60559.0,,
T00734,U019,2021-10-04,Expense,Health,57,Bank Transfer,Mumbai,Doctor visit,,57.0,,,57.0
T03776,U048,2020-05-09,Expense,Food,641,Card,Bengaluru,CoBzaIzlT,,641.0,,,641.0
T02361,U087,2022-06-24,Expense,Travel,564,UPI,Delhi,Doctor visit late,,564.0,,,564.0
T11868,U053,2019-04-29,Expense,Rent,"1,229",Cash,Pune,Grocery shopping ,,1229.0,,,1229.0
T13423,U102,2021-06-12,Expense,Unknown,435,Cash,Hyderabad,Gift,,435.0,,,435.0
T08941,U071,2019-08-02,Expense,Food,189,UPI,Ahmedabad,Netflix subscription,,189.0,,,189.0
T12761,U005,2021-01-31,Expense,Entertainment,37,Bank Transfer,Jaipur,Gift,,37.0,,,37.0
T00663,U169,2020-11-16,Expense,Travel,175,Card,Delhi,Salary,,175.0,,,175.0
T05581,U170,2021-11-11,Expense,Food,"2,183",UPI,Hyderabad,Salary cash,,2183.0,,,2183.0
T04057,U147,2021-05-29,Expense,Rent,705,Cash,Bengaluru,Salary,,705.0,,,705.0
T06229,U175,2019-07-01,Expense,Travel,404,Bank Transfer,Pune,Course fee,,404.0,,,404.0
T13394,U134,2019-04-02,Income,Bonus,"45,883",Card,Mumbai,Course fee cash,,45883.0,,,45883.0
T04446,U111,2022-05-26,Expense,Food,₹40,Cash,Pune,Monthly rent cash,₹,40.0,40.0,,
T11310,U028,2021-08-29,Income,Salary,"69,360",Bank Transfer,Mumbai,Gift cash,,69360.0,,,69360.0
T11529,U033,2021-03-01,Expense,Food,₹227,Cash,Bengaluru,Netflix subscription late,₹,227.0,227.0,,
T13813,U143,2021-09-12,Expense,Food,757,UPI,Kolkata,16wmjUjz,,757.0,,,757.0
T00554,U005,2019-01-23,Expense,Food,81,Card,Ahmedabad,Netflix subscription,,81.0,,,81.0
T14182,U082,2021-06-11,Expense,Food,196,Bank Transfer,Jaipur,Monthly rent,,196.0,,,196.0
T05044,U160,2021-06-25,Income,Bonus,"53,159",Cash,Lucknow,,,53159.0,,,53159.0
T05971,U148,2021-05-28,Expense,Travel,₹86,UPI,Lucknow,Monthly rent,₹,86.0,86.0,,
T10626,U049,2021-04-21,Expense,Rent,641,Cash,Bengaluru,Salary,,641.0,,,641.0
T05376,U053,2019-10-14,Expense,Rent,143,Bank Transfer,Kolkata,Netflix subscription via app,,143.0,,,143.0
T03003,U095,2020-04-21,Expense,Savings,"2,035",Card,Chennai,Salary,,2035.0,,,2035.0
T06854,U074,2021-03-18,Expense,Rent,51,Cash,Pune,zldFyXXwJ,,51.0,,,51.0
T01355,U095,2019-10-15,Expense,Rent,"1,766",Cash,Delhi,,,1766.0,,,1766.0
T00101,U177,2021-06-13,Expense,Food,575,Bank Transfer,Jaipur,Netflix subscription,,575.0,,,575.0
T11581,U112,2022-08-17,Expense,Rent,$123,Card,Unknown,Netflix subscription cash,$,123.0,,123.0,
T07843,U067,2021-01-16,Expense,Health,195,Bank Transfer,Hyderabad,Salary,,195.0,,,195.0
T07405,U080,2020-01-17,Expense,Food,587,Card,Bengaluru,LDRxleWusbe7ZvYa,,587.0,,,587.0
T06736,U061,2020-10-14,Expense,Rent,555,UPI,Unknown,Dinner at resto,,555.0,,,555.0
T07517,U005,2020-11-05,Expense,Rent,61,UPI,Hyderabad,Doctor visit,,61.0,,,61.0
T06119,U147,2019-06-28,Expense,Utilities,824,Cash,Pune,Dinner at resto,,824.0,,,824.0
T00904,U189,2019-03-06,Expense,Savings,443,Bank Transfer,Delhi,Dinner at resto cash,,443.0,,,443.0
T08456,U076,2022-10-04,Expense,Food,225,Cash,Chennai,Paid electricity bill,,225.0,,,225.0
T14290,U066,2020-07-12,Income,Bonus,"63,456",UPI,Bengaluru,,,63456.0,,,63456.0
T13075,U077,2020-04-30,Expense,Rent,326,Card,Ahmedabad,Dinner at resto ,,326.0,,,326.0
T03061,U087,2019-10-29,Expense,Rent,"1,881",Card,Lucknow,Course fee,,1881.0,,,1881.0
T11432,U159,2022-09-07,Expense,Travel,111,Bank Transfer,Delhi,1yv2UgqhuT,,111.0,,,111.0
T04560,U020,2022-01-24,Expense,Travel,"₹5,172",Bank Transfer,Mumbai,Course fee,₹,5172.0,5172.0,,
T02114,U189,2021-06-20,Expense,Travel,"$1,703",Cash,Lucknow,Doctor visit via app,$,1703.0,,1703.0,
T12679,U181,2021-11-03,Income,Other Income,"₹58,619",UPI,Mumbai,,₹,58619.0,58619.0,,
T14712,U016,2021-04-08,Expense,Savings,"1,711",Card,Pune,Uber to office via app,,1711.0,,,1711.0
T06760,U051,2019-11-23,Income,Other Income,"45,038",Bank Transfer,Ahmedabad,Doctor visit,,45038.0,,,45038.0
T10248,U108,2019-06-26,Expense,Entertainment,"1,050",Cash,Hyderabad,Uber to office,,1050.0,,,1050.0
T13425,U023,2019-03-13,Expense,Travel,617,Cash,Ahmedabad,Course fee ,,617.0,,,617.0
T05533,U026,2021-06-24,Expense,Travel,₹45,Cash,Delhi,,₹,45.0,45.0,,
T07945,U058,2022-12-20,Expense,Rent,104,Cash,Hyderabad,Uber to office,,104.0,,,104.0
T13942,U013,2021-05-14,Expense,Food,"₹2,421",Card,Jaipur,,₹,2421.0,2421.0,,
T14822,U185,2020-09-01,Income,Other Income,"69,193",Cash,Delhi,Dinner at resto ,,69193.0,,,69193.0
T06956,U074,2020-11-17,Expense,Education,143,Bank Transfer,Bengaluru,,,143.0,,,143.0
T11139,U088,2021-03-17,Expense,Rent,959,Bank Transfer,Unknown,Salary,,959.0,,,959.0
T11916,U163,2019-12-03,Income,Salary,"41,560",Cash,Lucknow,Doctor visit late,,41560.0,,,41560.0
T08529,U168,2019-05-29,Expense,Rent,77,UPI,Unknown,Monthly rent,,77.0,,,77.0
T14294,U155,2022-02-09,Expense,Travel,"1,175",Bank Transfer,Mumbai,Gift,,1175.0,,,1175.0
T12514,U093,2020-11-01,Expense,Utilities,₹85,Bank Transfer,Chennai,Uber to office ,₹,85.0,85.0,,
T09379,U117,2021-04-29,Expense,Rent,232,Unknown,Bengaluru,Uber to office,,232.0,,,232.0
T14731,U026,2021-11-02,Expense,Food,"1,588",Card,Chennai,Uber to office via app,,1588.0,,,1588.0
T13317,U027,,Expense,Rent,205,Bank Transfer,Kolkata,Dinner at resto,,205.0,,,205.0
T06479,U152,2021-04-14,Expense,Travel,374,UPI,Pune,Netflix subscription,,374.0,,,374.0
T05787,U014,2022-10-22,Expense,Food,263,UPI,Jaipur,Gift via app,,263.0,,,263.0
T09733,U191,2021-01-30,Expense,Entertainment,757,Card,Pune,Gift late,,757.0,,,757.0
T02638,U040,2021-01-17,Expense,Rent,₹50,UPI,Mumbai,Grocery shopping ,₹,50.0,50.0,,
T06460,U061,2021-12-11,Income,Bonus,"43,834",Cash,Delhi,Gift cash,,43834.0,,,43834.0
T02527,U099,2020-10-11,Expense,Utilities,472,Cash,Lucknow,Uber to office cash,,472.0,,,472.0
T10439,U135,2021-01-22,Income,Salary,"49,691",UPI,Pune,Salary via app,,49691.0,,,49691.0
T12034,U100,2020-07-25,Expense,Travel,"1,413",Card,Delhi,nqj5djeLfknN4JU,,1413.0,,,1413.0
T14582,U014,2021-10-09,Expense,Education,207,Card,Hyderabad,Netflix subscription,,207.0,,,207.0
T03605,U090,2022-08-04,Expense,Entertainment,923,Cash,Bengaluru,Course fee ,,923.0,,,923.0
T03072,U131,2020-12-24,Expense,Utilities,157,Bank Transfer,Kolkata,4qk8NxcvcHAcxzQrBB,,157.0,,,157.0
T08208,U185,2019-01-30,Expense,Savings,"2,425",Cash,Mumbai,Monthly rent,,2425.0,,,2425.0
T02374,U089,2020-06-02,Expense,Rent,106,UPI,Pune,Doctor visit,,106.0,,,106.0
T05338,U050,2021-07-29,Expense,Food,$406,Card,Kolkata,,$,406.0,,406.0,
T06327,U060,2020-09-26,Expense,Food,264,Bank Transfer,Kolkata,lPujru8v5kb9vKPv,,264.0,,,264.0
T13510,U070,2022-07-21,Expense,Utilities,₹133,UPI,Mumbai,Uber to office ,₹,133.0,133.0,,
T10985,U114,2021-11-03,Expense,Savings,747,Cash,Mumbai,Uber to office,,747.0,,,747.0
T00159,U152,2022-11-15,Expense,Others,914,Cash,Mumbai,,,914.0,,,914.0
T08980,U025,2021-11-12,Income,Bonus,"68,420",Bank Transfer,Delhi,Uber to office,,68420.0,,,68420.0
T07670,U084,2021-05-15,Expense,Travel,348,UPI,Pune,Paid electricity bill,,348.0,,,348.0
T11084,U053,2019-01-11,Income,Bonus,"57,190",UPI,Jaipur,Salary ,,57190.0,,,57190.0
T11154,U031,2020-03-23,Expense,Food,568,Bank Transfer,Unknown,Dinner at resto ,,568.0,,,568.0
T06945,U077,2022-10-18,Expense,Travel,125,Bank Transfer,Mumbai,Paid electricity bill late,,125.0,,,125.0
T11314,U124,2019-05-30,Expense,Others,726,UPI,Chennai,Salary,,726.0,,,726.0
T01430,U121,2020-04-29,Expense,Food,301,UPI,Kolkata,Paid electricity bill cash,,301.0,,,301.0
T02530,U164,2020-10-19,Income,Salary,"39,615",UPI,Bengaluru,Paid electricity bill,,39615.0,,,39615.0
T10146,U042,2019-06-05,Expense,Health,324,Bank Transfer,Kolkata,Uber to office ,,324.0,,,324.0
T07377,U064,2020-12-08,Expense,Rent,"₹1,789",Card,Hyderabad,iU4GRmkU,₹,1789.0,1789.0,,
T08343,U113,2020-12-24,Expense,Food,,Card,Kolkata,Course fee late,,,,,
T10891,U143,2021-11-07,Expense,Rent,61,Card,Mumbai,RQEpVsCm,,61.0,,,61.0
T05368,U170,2021-01-16,Expense,Food,64,Cash,Delhi,Monthly rent ,,64.0,,,64.0
T09121,U146,2022-03-15,Income,Salary,"66,226",Bank Transfer,Pune,Paid electricity bill cash,,66226.0,,,66226.0
T02141,U084,2022-11-17,Expense,Food,114,Card,Jaipur,Paid electricity bill,,114.0,,,114.0
T13464,U179,2021-01-05,Expense,Travel,97,UPI,Lucknow,Netflix subscription,,97.0,,,97.0
T02339,U157,2022-07-24,Expense,Food,323,UPI,Mumbai,Salary cash,,323.0,,,323.0
T06675,U117,2019-06-03,Expense,Utilities,246,Cash,Ahmedabad,Dinner at resto,,246.0,,,246.0
T02186,U190,2019-02-03,Income,Other Income,"59,622",Card,Kolkata,Uber to office,,59622.0,,,59622.0
T04574,U033,2020-10-07,Expense,Utilities,965,Bank Transfer,Ahmedabad,Gift via app,,965.0,,,965.0
T08561,U112,2022-03-14,Expense,Rent,116,Card,Jaipur,Netflix subscription,,116.0,,,116.0
T05331,U115,2019-04-03,Expense,Food,"₹1,372",Cash,Bengaluru,Monthly rent,₹,1372.0,1372.0,,
T06662,U174,2019-01-23,Expense,Travel,142,Cash,Jaipur,Netflix subscription,,142.0,,,142.0
T13401,U026,2019-11-04,Expense,Entertainment,83,Bank Transfer,Mumbai,Course fee,,83.0,,,83.0
T14142,U180,2020-05-05,Expense,Food,231,UPI,Delhi,Netflix subscription cash,,231.0,,,231.0
T13459,U102,2019-06-15,Expense,Utilities,₹485,Bank Transfer,Pune,,₹,485.0,485.0,,
T12022,U057,2020-10-12,Expense,Savings,"3,866",Bank Transfer,Chennai,,,3866.0,,,3866.0
T00209,U064,2019-01-23,Income,Bonus,"$63,751",Cash,Bengaluru,Salary via app,$,63751.0,,63751.0,
T14671,U023,2019-02-11,Expense,Food,"1,789",UPI,Chennai,CTahRXPpt1r,,1789.0,,,1789.0
T07051,U041,2020-03-26,Income,Salary,"75,840",Card,Unknown,Dinner at resto via app,,75840.0,,,75840.0
T01429,U085,2022-01-10,Expense,Rent,69,UPI,Delhi,Grocery shopping ,,69.0,,,69.0
T00757,U022,2021-12-15,Expense,Travel,"4,679",Bank Transfer,Delhi,Doctor visit cash,,4679.0,,,4679.0
T10510,U019,2020-08-27,Expense,Travel,791,UPI,Chennai,,,791.0,,,791.0
T14667,U108,2020-02-11,Expense,Food,259,UPI,Unknown,Doctor visit cash,,259.0,,,259.0
T02915,U139,2022-11-01,Expense,Others,843,UPI,Kolkata,Paid electricity bill,,843.0,,,843.0
T06420,U054,2021-08-03,Expense,Food,516,Bank Transfer,Mumbai,Gift,,516.0,,,516.0
T09600,U099,2022-10-20,Expense,Rent,731,Bank Transfer,Delhi,Salary late,,731.0,,,731.0
T05845,U096,2019-03-15,Expense,Food,388,Bank Transfer,Bengaluru,Netflix subscription,,388.0,,,388.0
T09062,U185,2022-02-09,Expense,Rent,418,Bank Transfer,Mumbai,Paid electricity bill cash,,418.0,,,418.0
T11610,U102,2019-07-31,Income,Other Income,"54,548",UPI,Mumbai,Salary cash,,54548.0,,,54548.0
T11709,U028,2020-11-28,Expense,Rent,201,Cash,Bengaluru,Doctor visit via app,,201.0,,,201.0
T07464,U043,2020-02-18,Expense,Food,"$999,999",Card,Delhi,,$,,,,
T07338,U071,2019-07-06,Income,Bonus,"68,463",Cash,Lucknow,zhjquyI3MwYbP4rQr9,,68463.0,,,68463.0
T00082,U163,2021-07-26,Expense,Food,"1,325",Card,Jaipur,Dinner at resto,,1325.0,,,1325.0
T08610,U147,2019-04-14,Expense,Food,"8,096",Cash,Jaipur,Course fee,,8096.0,,,8096.0
T08325,U164,2019-07-29,Expense,Rent,$194,Bank Transfer,Bengaluru,Dinner at resto,$,194.0,,194.0,
T03004,U039,2020-10-07,Expense,Rent,"1,706",Bank Transfer,Lucknow,Doctor visit,,1706.0,,,1706.0
T01792,U095,2020-01-24,Expense,Food,₹20,UPI,Kolkata,Gift via app,₹,20.0,20.0,,
T07169,U054,2022-03-29,Expense,Rent,424,UPI,Jaipur,Grocery shopping via app,,424.0,,,424.0
T12842,U146,2020-10-21,Expense,Others,"2,364",Card,Mumbai,Salary,,2364.0,,,2364.0
T01961,U039,2021-01-07,Expense,Food,183,UPI,Mumbai,,,183.0,,,183.0
T01299,U062,2019-07-19,Expense,Food,594,Bank Transfer,Bengaluru,Netflix subscription,,594.0,,,594.0
T03989,U113,2019-06-27,Expense,Food,239,Card,Jaipur,Paid electricity bill cash,,239.0,,,239.0
T13134,U158,2020-04-17,Income,Other Income,"48,427",UPI,Hyderabad,Uber to office,,48427.0,,,48427.0
T10795,U116,2020-08-28,Expense,Food,₹287,Bank Transfer,Bengaluru,Dinner at resto ,₹,287.0,287.0,,
T02251,U136,2022-01-12,Expense,Rent,709,Card,Ahmedabad,Course fee late,,709.0,,,709.0
T04812,U129,2020-12-12,Expense,Entertainment,"4,518",Card,Lucknow,Netflix subscription,,4518.0,,,4518.0
T11426,U069,2020-08-15,Expense,Food,512,Cash,Jaipur,9mR8zTIgFl,,512.0,,,512.0
T01546,U141,2019-04-12,Expense,Travel,$335,Bank Transfer,Hyderabad,Doctor visit,$,335.0,,335.0,
T11648,U102,2021-08-06,Expense,Others,"1,952",Cash,Lucknow,Gift,,1952.0,,,1952.0
T03610,U010,2019-05-24,Income,Bonus,"₹39,902",UPI,Jaipur,Paid electricity bill late,₹,39902.0,39902.0,,
T04796,U055,2021-06-28,Expense,Rent,255,UPI,Chennai,Netflix subscription,,255.0,,,255.0
T14447,U186,2019-09-16,Expense,Food,$964,Card,Bengaluru,Salary,$,964.0,,964.0,
T01971,U168,2020-10-22,Income,Salary,"67,136",Bank Transfer,Ahmedabad,Monthly rent,,67136.0,,,67136.0
T11440,U081,2019-11-01,Expense,Rent,"₹-1,049",Bank Transfer,Delhi,Grocery shopping ,₹,-1049.0,-1049.0,,
T04580,U137,2022-02-01,Expense,Rent,"2,070",Card,Pune,Doctor visit,,2070.0,,,2070.0
T08563,U115,2022-10-19,Expense,Utilities,₹730,Card,Mumbai,Uber to office via app,₹,730.0,730.0,,
T02867,U047,2019-02-15,Expense,Education,970,Cash,Lucknow,Dinner at resto,,970.0,,,970.0
T14631,U184,2021-03-27,Expense,Utilities,101,Cash,Jaipur,Course fee,,101.0,,,101.0
T13312,U127,2020-10-11,Expense,Travel,480,Bank Transfer,Pune,Netflix subscription,,480.0,,,480.0
T03414,U103,2020-10-29,Expense,Travel,49,Bank Transfer,Lucknow,Course fee,,49.0,,,49.0
T01292,U136,2020-10-19,Expense,Rent,18,Cash,Hyderabad,Paid electricity bill,,18.0,,,18.0
T13881,U165,2019-02-03,Expense,Entertainment,908,Card,Chennai,Monthly rent,,908.0,,,908.0
T14170,U095,2022-07-03,Expense,Travel,"1,701",Cash,Kolkata,Salary,,1701.0,,,1701.0
T02412,U093,2021-11-18,Expense,Food,"1,328",Card,Kolkata,Paid electricity bill,,1328.0,,,1328.0
